10.690,14744,549833,745.4M,51434,557.8M,1355
10.791,14917,576606,782.0M,53433,579.8M,1356
7.532,12389,496686,674.3M,65943,716.2M,1357
10.141,19036,735305,998.3M,72508,787.6M,1357
26.616,39097,1.6M,2.1G,59020,641.1M,1357
11.534,21394,824529,1.1G,71486,776.3M,1357
7.532,12389,496686,674.3M,65943,716.2M,1357
41.271,59415,2.1M,2.9G,51385,558.4M,1358
17.258,24475,885829,1.2G,51328,557.4M,1357
70.059,106660,3.5M,4.8G,50009,543.4M,1358
43.820,62243,2.1M,2.9G,48252,524.2M,1357
10.131,19440,733288,995.2M,72380,785.9M,1357
25.476,46992,1.6M,2.2G,62266,676.2M,1357
10.949,20243,863990,1.2G,78910,857.7M,1358
10.244,20339,834266,1.1G,81439,885.1M,1358
10.181,19775,819678,1.1G,80510,874.9M,1358
10.565,21198,855557,1.2G,80980,880.1M,1358
10.564,21002,848347,1.2G,80305,872.6M,1358
10.328,20391,794430,1.1G,76920,835.5M,1357
10.693,21088,820145,1.1G,76699,833.1M,1357
10.438,20269,836873,1.1G,80175,871.5M,1358
10.709,20631,851906,1.2G,79550,864.6M,1358
8.708,11834,479996,652.0M,55121,599.0M,1358
35.169,39417,1.6M,2.2G,46657,507.2M,1358
992.030,1208,12.7M,18.0G,12820,145.3M,1416
748.775,4209,11.3M,15.9G,15094,170.2M,1409
294.979,12,26.3M,2.1G,89178,55.6M,78
320.831,21,27.9M,2.2G,86893,54.2M,78
271.848,13,24.2M,1.9G,89053,55.6M,78
325.767,8,27.9M,2.2G,85522,53.4M,78
308.722,10,28.0M,2.2G,90616,56.5M,78
299.005,8,31.0M,2.4G,103794,64.8M,78
364.606,6,41.9M,3.3G,114838,71.7M,78
274.830,8,22.6M,1.8G,82293,51.4M,78
355.831,14,31.8M,2.5G,89466,55.8M,78
279.469,18,24.9M,1.9G,89194,55.7M,78
90.580,326,28.2M,38.4G,310832,3.4G,1364
417.876,24091,32.5M,44.9G,77655,858.9M,1382
927.580,16527,33.3M,46.2G,35917,398.3M,1386
1317.281,20547,63.7M,87.9G,48339,533.6M,1379
1492.574,20814,63.9M,88.3G,42812,473.1M,1381
1917.850,10699,36.3M,50.3G,18908,210.0M,1388
2217.944,20620,10.4M,15.5G,4671,56.1M,1500
2518.009,22236,172.1M,236.4G,68348,751.2M,1373
2590.572,15892,59.8M,83.0G,23094,256.3M,1387
3117.808,11260,36.6M,51.0G,11734,130.9M,1394
3409.487,20037,83.7M,115.8G,24558,271.7M,1382
3718.047,11690,40.3M,56.1G,10835,120.7M,1392
3770.427,12105,35.8M,49.9G,9498,105.9M,1393
4317.400,18066,76.1M,105.1G,17629,194.8M,1381
358.789,11694,13.8M,19.0G,38477,422.6M,1372
493.748,16236,11.8M,16.2G,23859,261.9M,1372
90.689,5232,1.7M,2.4G,19142,211.2M,1379
736.900,10146,13.7M,18.9G,18644,205.2M,1375
91.085,14153,609769,914.7M,6694,80.3M,1500
2500.739,6864,21.6M,29.7G,8655,95.1M,1372
90.248,8407,7.0M,9.6G,77391,848.2M,1369
90.800,10863,6.5M,8.9G,71939,787.5M,1368
90.705,12777,3.6M,5.0G,40143,441.4M,1374
