1338.156,51,8.8M,13.1G,6560,78.3M,1491
4295436.159,95,18.3M,26.3G,4,48899,1433
853.998,498,8.0M,11.6G,9398,108.7M,1445
2463.423,376,8.9M,12.6G,3611,41.0M,1419
26138.833,485,9.7M,14.3G,372,4.4M,1470
24296.920,144,15.0M,21.9G,619,7.2M,1454
11601.122,70,12.2M,17.5G,1055,12.0M,1426
5980.100,374,6.6M,9.5G,1109,12.8M,1436
5307.820,46,4.1M,6.0G,776,9.1M,1465
3963.484,453,6.7M,9.8G,1688,19.9M,1469
233.455,12,381120,19.8M,1632,679342,52
4856.356,514,16.8M,24.1G,3463,39.7M,1431
3732.673,94,12.6M,18.2G,3362,39.0M,1450
1535.559,83,6.5M,9.3G,4225,48.3M,1427
4295405.298,125,12.0M,17.4G,2,32423,1444
331.583,447,1.0M,1.5G,3027,35.7M,1473
521.165,444,1.2M,1.6G,2242,24.9M,1390
848.822,404,1.4M,2.0G,1665,18.5M,1391
5037.152,874,12.6M,18.7G,2501,29.7M,1485
4743.344,67,10.4M,15.0G,2185,25.2M,1442
4819.019,69,3.9M,5.6G,808,9.3M,1442
4295255.132,499,10.8M,15.6G,2,29084,1452
331.470,22,589298,27.1M,1777,654258,46
584.940,495,921125,1.3G,1574,17.4M,1379
9514.765,496,12.7M,18.6G,1337,15.6M,1461
512.537,60,653445,956.0M,1274,14.9M,1463
398.564,33,494198,249.8M,1239,5.0M,505
4295399.353,79,8.4M,12.2G,1,22787,1463
4295404.104,76,7.6M,11.1G,1,20741,1459
457.897,416,1.5M,2.1G,3331,37.1M,1392
3664.340,537,5.2M,7.5G,1417,16.4M,1444
4886.535,77,6.0M,8.8G,1231,14.5M,1467
4295553.972,137,7.7M,11.4G,1,21140,1474
5794.840,72,14.0M,20.6G,2411,28.5M,1475
4011.985,380,7.6M,11.0G,1888,22.0M,1457
4295301.546,460,13.6M,19.7G,3,36678,1448
753.850,366,3.6M,4.9G,4729,52.2M,1380
4778.484,108,14.9M,21.6G,3110,36.2M,1456
2740.863,873,5.5M,7.9G,1993,23.2M,1453
812.578,275,10.4M,15.2G,12834,149.9M,1459
4295655.813,89,7.6M,10.7G,1,19976,1419
4295532.059,104,4.4M,6.4G,1,11902,1447
2799.168,896,11.3M,15.9G,4023,45.5M,1413
4295430.495,112,7.7M,11.1G,1,20659,1447
4295515.280,18,2.4M,3.4G,0,6368,1414
3276.858,463,12.2M,18.1G,3728,44.3M,1485
4295233.887,14,2.4M,3.3G,0,6234,1414
3083.791,467,13.3M,19.5G,4319,50.6M,1463
516.163,23,2.3M,3.3G,4508,51.0M,1414
4295091.545,470,10.1M,14.5G,2,27006,1442
4295316.227,100,24.8M,35.8G,5,66747,1442
5563.943,33,12.7M,18.0G,2273,25.9M,1422
4295263.947,42,8.0M,11.7G,1,21759,1461
4295394.708,20,3.2M,602.3M,0,1121,186
4295562.333,31,3.7M,5.4G,0,10053,1457
4295446.492,533,5.6M,8.2G,1,15204,1463
2730.019,457,8.8M,12.8G,3237,37.4M,1445
777.115,147,11.2M,15.9G,14466,163.2M,1410
2140.000,67,11.6M,16.4G,5421,61.4M,1415
4295476.121,1490,7.2M,10.4G,1,19419,1454
6359.502,1393,10.7M,15.5G,1681,19.5M,1452
4295361.885,83,12.3M,18.3G,2,34035,1482
1739.166,57,12.2M,18.2G,6993,83.9M,1499
4295429.731,2199,1.1M,61.1M,0,113,54
3556.166,111,16.8M,23.9G,4722,53.7M,1422
3650.171,39,16.2M,23.7G,4442,51.9M,1459
4736.237,445,12.0M,17.5G,2542,29.6M,1456
458.111,870,793493,1.2G,1732,20.5M,1477
